layer,case_id,profile,approved,tier,compensatory_score,gate_safety,gate_evidence,gate_bias,gate_calibration,gate_traceability
layer1,amazon_recruiting,permissive,0,canonical,0.357500,1,1,0,1,1
layer1,babylon,permissive,1,canonical,0.482500,1,1,1,1,1
layer1,compas,permissive,0,canonical,0.372500,1,1,0,1,0
layer1,epic_sepsis,permissive,1,canonical,0.482500,1,1,1,1,1
layer1,gender_shades,permissive,0,canonical,0.457500,1,1,0,1,1
layer1,google_dr,permissive,1,canonical,0.612500,1,1,1,1,1
layer1,google_flu,permissive,1,canonical,0.567500,1,1,1,1,1
layer1,ibm_watson,permissive,0,canonical,0.387500,0,1,1,1,0
layer1,microsoft_tay,permissive,0,canonical,0.345000,0,1,1,1,1
layer1,optum_health,permissive,0,canonical,0.440000,1,1,0,1,1
layer1,uber_av,permissive,0,canonical,0.512500,0,1,1,0,1
layer1,uk_alevels,permissive,0,canonical,0.377500,1,1,0,1,1
layer1,amazon_recruiting,moderate,0,canonical,0.357500,0,0,0,1,0
layer1,babylon,moderate,0,canonical,0.482500,1,0,1,1,0
layer1,compas,moderate,0,canonical,0.372500,0,1,0,1,0
layer1,epic_sepsis,moderate,0,canonical,0.482500,0,1,1,0,0
layer1,gender_shades,moderate,0,canonical,0.457500,0,1,0,1,1
layer1,google_dr,moderate,1,canonical,0.612500,1,1,1,1,1
layer1,google_flu,moderate,0,canonical,0.567500,0,1,1,0,1
layer1,ibm_watson,moderate,0,canonical,0.387500,0,0,1,0,0
layer1,microsoft_tay,moderate,0,canonical,0.345000,0,1,0,0,1
layer1,optum_health,moderate,0,canonical,0.440000,0,1,0,1,1
layer1,uber_av,moderate,0,canonical,0.512500,0,1,1,0,1
layer1,uk_alevels,moderate,0,canonical,0.377500,0,1,0,1,1
layer1,amazon_recruiting,strict,0,canonical,0.357500,0,0,0,0,0
layer1,babylon,strict,0,canonical,0.482500,0,0,1,0,0
layer1,compas,strict,0,canonical,0.372500,0,0,0,0,0
layer1,epic_sepsis,strict,0,canonical,0.482500,0,0,1,0,0
layer1,gender_shades,strict,0,canonical,0.457500,0,1,0,0,0
layer1,google_dr,strict,0,canonical,0.612500,0,1,1,0,0
layer1,google_flu,strict,0,canonical,0.567500,0,1,1,0,0
layer1,ibm_watson,strict,0,canonical,0.387500,0,0,1,0,0
layer1,microsoft_tay,strict,0,canonical,0.345000,0,0,0,0,0
layer1,optum_health,strict,0,canonical,0.440000,0,1,0,0,0
layer1,uber_av,strict,0,canonical,0.512500,0,1,1,0,1
layer1,uk_alevels,strict,0,canonical,0.377500,0,0,0,0,0
layer1,amazon_recruiting,very_strict,0,canonical,0.357500,0,0,0,0,0
layer1,babylon,very_strict,0,canonical,0.482500,0,0,0,0,0
layer1,compas,very_strict,0,canonical,0.372500,0,0,0,0,0
layer1,epic_sepsis,very_strict,0,canonical,0.482500,0,0,1,0,0
layer1,gender_shades,very_strict,0,canonical,0.457500,0,1,0,0,0
layer1,google_dr,very_strict,0,canonical,0.612500,0,0,0,0,0
layer1,google_flu,very_strict,0,canonical,0.567500,0,0,1,0,0
layer1,ibm_watson,very_strict,0,canonical,0.387500,0,0,1,0,0
layer1,microsoft_tay,very_strict,0,canonical,0.345000,0,0,0,0,0
layer1,optum_health,very_strict,0,canonical,0.440000,0,0,0,0,0
layer1,uber_av,very_strict,0,canonical,0.512500,0,0,1,0,1
layer1,uk_alevels,very_strict,0,canonical,0.377500,0,0,0,0,0
expanded,acclarent_trudi_navigation_reuters2026,moderate,0,base_plus_eee,0.380000,,,,,
expanded,ada_symptom_app_gilbert2020,moderate,0,base_plus_eee,0.445000,,,,,
expanded,adversarial_attacks_medical_ml_finlayson2019,moderate,0,base_plus_eee,0.405000,,,,,
expanded,ai_ecg_atrial_fib_attia2019,moderate,0,base_plus_eee,0.470000,,,,,
expanded,aki_prediction_model_tomasev2019,moderate,0,base_plus_eee,0.405000,,,,,
expanded,amazon_recruiting,moderate,0,canonical,0.357500,,,,,
expanded,babylon,moderate,0,canonical,0.482500,,,,,
expanded,benefit_risk_reporting_fda_ai_2024,moderate,0,base_plus_eee,0.405000,,,,,
expanded,buoy_symptom_app_gilbert2020,moderate,0,base_plus_eee,0.388585,,,,,
expanded,chest_xray_external_val_kim2020,moderate,0,base_plus_eee,0.440000,,,,,
expanded,compas,moderate,0,canonical,0.372500,,,,,
expanded,control_accipioix,moderate,1,control_base,0.620000,,,,,
expanded,control_ai_cvd,moderate,1,control_base,0.620000,,,,,
expanded,control_aidoc_briefcase,moderate,1,control_base,0.620000,,,,,
expanded,control_air_recon_dl,moderate,1,control_base,0.620000,,,,,
expanded,control_alzevita,moderate,1,control_base,0.620000,,,,,
expanded,control_art_plan_plus,moderate,1,control_base,0.620000,,,,,
expanded,control_arterys_cardio_ai,moderate,1,control_base,0.620000,,,,,
expanded,control_bioticsai,moderate,1,control_base,0.620000,,,,,
expanded,control_caption_guidance,moderate,1,control_base,0.620000,,,,,
expanded,control_cognet_ai_mt,moderate,1,control_base,0.620000,,,,,
expanded,control_emurmur,moderate,1,control_base,0.620000,,,,,
expanded,control_endoscreener,moderate,1,control_base,0.620000,,,,,
expanded,control_gi_genius,moderate,1,control_base,0.620000,,,,,
expanded,control_guardian_connect_medtronic,moderate,1,control_base,0.620000,,,,,
expanded,control_heartflow_ffrct,moderate,1,control_base,0.620000,,,,,
expanded,control_idx_dr_lumineticscore,moderate,1,control_base,0.620000,,,,,
expanded,control_lumify,moderate,1,control_base,0.620000,,,,,
expanded,control_neosoma_brain_mets,moderate,1,control_base,0.620000,,,,,
expanded,control_osteodetect,moderate,1,control_base,0.620000,,,,,
expanded,control_paige_prostate,moderate,1,control_base,0.620000,,,,,
expanded,control_peekmed,moderate,1,control_base,0.620000,,,,,
expanded,control_pvad_iq,moderate,1,control_base,0.620000,,,,,
expanded,control_qure_ai_qxr,moderate,1,control_base,0.620000,,,,,
expanded,control_rapid_lio,moderate,1,control_base,0.620000,,,,,
expanded,control_skout,moderate,1,control_base,0.620000,,,,,
expanded,control_tempus_ecg,moderate,1,control_base,0.620000,,,,,
expanded,control_truspect,moderate,1,control_base,0.620000,,,,,
expanded,control_ultrasight_guidance,moderate,1,control_base,0.620000,,,,,
expanded,control_viz_lvo,moderate,1,control_base,0.620000,,,,,
expanded,control_zebra_medical_healthpnx,moderate,1,control_base,0.620000,,,,,
expanded,covid_cxr_intrinsic_shortcuts_zhang2023,moderate,0,base_plus_eee,0.357500,,,,,
expanded,covid_cxr_shortcuts_degrave2021,moderate,0,base_plus_eee,0.357500,,,,,
expanded,cxr_underdiagnosis_bias_seyyed2021,moderate,0,base_plus_eee,0.313720,,,,,
expanded,davinci_robotic_surgery_maude_2026,moderate,0,base_plus_eee,0.390000,,,,,
expanded,dermatology_ml_disparities_adamson2018,moderate,0,base_plus_eee,0.348620,,,,,
expanded,early_recalls_ai_devices_lee2025,moderate,0,base_plus_eee,0.401340,,,,,
expanded,ehr_mortality_prediction_avati2018,moderate,0,base_plus_eee,0.425000,,,,,
expanded,ehr_process_bias_agniel2018,moderate,0,base_plus_eee,0.337500,,,,,
expanded,epic_sepsis,moderate,0,canonical,0.482500,,,,,
expanded,fda_ai_device_evidence_gaps_wu2021,moderate,0,base_plus_eee,0.385000,,,,,
expanded,fda_maude_ml_safety_events_2023,moderate,0,base_plus_eee,0.385000,,,,,
expanded,fdg_pet_ai_false_positives_chen2022,moderate,0,base_plus_eee,0.417500,,,,,
expanded,gender_shades,moderate,0,canonical,0.457500,,,,,
expanded,generalizability_fda_ai_windecker2025,moderate,0,base_plus_eee,0.410000,,,,,
expanded,google_dr,moderate,1,canonical,0.612500,,,,,
expanded,google_flu,moderate,0,canonical,0.567500,,,,,
expanded,hidden_stratification_oakden2020,moderate,0,base_plus_eee,0.345000,,,,,
expanded,hip_fracture_confounding_badgeley2019,moderate,0,base_plus_eee,0.337500,,,,,
expanded,ibm_watson,moderate,0,canonical,0.387500,,,,,
expanded,icu_deterioration_prediction_futoma2020,moderate,0,base_plus_eee,0.455000,,,,,
expanded,khealth_symptom_app_gilbert2020,moderate,0,base_plus_eee,0.392500,,,,,
expanded,mammography_ai_disparities_yala2022,moderate,0,base_plus_eee,0.385000,,,,,
expanded,medical_device_ui_recalls_zhang2019,moderate,0,base_plus_eee,0.392500,,,,,
expanded,mediktor_symptom_app_gilbert2020,moderate,0,base_plus_eee,0.392500,,,,,
expanded,microsoft_tay,moderate,0,canonical,0.345000,,,,,
expanded,minimal_noise_adversarial_medical_wang2024,moderate,0,base_plus_eee,0.425000,,,,,
expanded,nlp_clinical_notes_bias_zhang2020,moderate,0,base_plus_eee,0.387500,,,,,
expanded,optum_health,moderate,0,canonical,0.440000,,,,,
expanded,pathology_ai_generalization_campanella2019,moderate,0,base_plus_eee,0.440000,,,,,
expanded,pneumonia_cxr_generalization_zech2018,moderate,0,base_plus_eee,0.440000,,,,,
expanded,pulse_oximetry_racial_bias_sjoding2020,moderate,0,base_plus_eee,0.330000,,,,,
expanded,race_recognition_medical_images_gichoya2022,moderate,0,base_plus_eee,0.314820,,,,,
expanded,race_shortcut_mitigation_imaging_wang2024,moderate,0,base_plus_eee,0.361230,,,,,
expanded,radiology_ai_real_world_gap_van_leeuwen2021,moderate,0,base_plus_eee,0.405000,,,,,
expanded,radiology_shortcut_bias_review_banerjee2023,moderate,0,base_plus_eee,0.347500,,,,,
expanded,retinal_oct_external_val_lee2017,moderate,0,base_plus_eee,0.440000,,,,,
expanded,robotic_hip_arthroplasty_maude_2024,moderate,0,base_plus_eee,0.395000,,,,,
expanded,sepsis_early_warning_sendak2020,moderate,0,base_plus_eee,0.417500,,,,,
expanded,sex_imbalance_thoracic_larrazabal2020,moderate,0,base_plus_eee,0.355100,,,,,
expanded,shortcutting_risk_imaging_hill2024,moderate,0,base_plus_eee,0.352500,,,,,
expanded,skin_cancer_ai_equity_daneshjou2022,moderate,0,base_plus_eee,0.395000,,,,,
expanded,sonio_detect_prenatal_labeling_reuters2026,moderate,0,base_plus_eee,0.357500,,,,,
expanded,surgical_ai_alerts_wong2023,moderate,0,base_plus_eee,0.425000,,,,,
expanded,symptom_checker_audit_semigran2015,moderate,0,base_plus_eee,0.376415,,,,,
expanded,symptomate_app_gilbert2020,moderate,0,base_plus_eee,0.436250,,,,,
expanded,uber_av,moderate,0,canonical,0.512500,,,,,
expanded,uk_alevels,moderate,0,canonical,0.377500,,,,,
expanded,uk_equity_medical_devices_review_2024,moderate,0,base_plus_eee,0.355000,,,,,
expanded,webmd_symptom_checker_gilbert2020,moderate,0,base_plus_eee,0.398510,,,,,
expanded,yourmd_symptom_checker_gilbert2020,moderate,0,base_plus_eee,0.402500,,,,,
